game,total_sec,success
20112012_831.html.csv,39,-1
20112012_832.html.csv,78,0
20112012_833.html.csv,15,-1
20112012_834.html.csv,114,0
20112012_835.html.csv,86,-1
20112012_838.html.csv,27,-1
20112012_839.html.csv,57,0
20112012_840.html.csv,131,-1
20112012_841.html.csv,158,0
20112012_842.html.csv,60,0
20112012_843.html.csv,95,0
20112012_844.html.csv,78,-1
20112012_846.html.csv,33,0
20112012_850.html.csv,64,-1
20112012_851.html.csv,133,0
20112012_857.html.csv,90,0
20112012_859.html.csv,96,0
20112012_86.html.csv,90,-1
20112012_861.html.csv,56,0
20112012_862.html.csv,6,0
20112012_863.html.csv,77,0
20112012_864.html.csv,90,0
20112012_868.html.csv,40,0
20112012_869.html.csv,58,0
20112012_872.html.csv,67,0
20112012_874.html.csv,28,0
20112012_875.html.csv,52,-1
20112012_876.html.csv,90,0
20112012_877.html.csv,110,0
20112012_878.html.csv,78,-1
20112012_879.html.csv,97,1
20112012_88.html.csv,57,1
20112012_880.html.csv,73,0
20112012_885.html.csv,42,0
20112012_886.html.csv,66,1
20112012_887.html.csv,133,0
20112012_890.html.csv,93,0
20112012_891.html.csv,99,0
20112012_892.html.csv,67,1
20112012_893.html.csv,57,0
20112012_896.html.csv,89,-1
20112012_897.html.csv,114,0
20112012_899.html.csv,89,0
20112012_9.html.csv,132,0
20112012_90.html.csv,123,0
20112012_902.html.csv,33,1
20112012_904.html.csv,95,1
20112012_905.html.csv,65,0
20112012_907.html.csv,147,0
20112012_908.html.csv,56,0
20112012_91.html.csv,33,1
20112012_910.html.csv,155,-1
20112012_911.html.csv,200,0
20112012_913.html.csv,112,-1
20112012_916.html.csv,90,0
20112012_918.html.csv,106,0
20112012_919.html.csv,26,-1
20112012_92.html.csv,110,-1
20112012_922.html.csv,40,0
20112012_923.html.csv,120,-1
20112012_925.html.csv,60,0
20112012_926.html.csv,91,0
20112012_927.html.csv,59,1
20112012_928.html.csv,150,-1
20112012_929.html.csv,75,0
20112012_930.html.csv,64,0
20112012_931.html.csv,73,0
20112012_932.html.csv,66,-1
20112012_933.html.csv,28,0
20112012_934.html.csv,128,1
20112012_936.html.csv,102,0
20112012_937.html.csv,0,0
20112012_938.html.csv,128,0
20112012_939.html.csv,73,1
20112012_94.html.csv,37,0
20112012_940.html.csv,82,0
20112012_942.html.csv,56,0
20112012_945.html.csv,65,0
20112012_946.html.csv,34,0
20112012_947.html.csv,83,-1
20112012_949.html.csv,102,0
20112012_95.html.csv,78,0
20112012_951.html.csv,133,1
20112012_952.html.csv,109,-1
20112012_953.html.csv,219,0
20112012_955.html.csv,98,0
20112012_956.html.csv,57,-1
20112012_957.html.csv,51,-1
20112012_958.html.csv,41,0
20112012_960.html.csv,31,0
20112012_963.html.csv,94,-1
20112012_964.html.csv,23,0
20112012_965.html.csv,33,0
20112012_966.html.csv,66,0
20112012_968.html.csv,113,0
20112012_969.html.csv,97,-1
20112012_97.html.csv,41,-1
20112012_970.html.csv,229,-1
20112012_971.html.csv,65,-1
20112012_972.html.csv,84,-1
20112012_973.html.csv,73,0
20112012_974.html.csv,78,0
20112012_975.html.csv,19,0
20112012_976.html.csv,79,0
20112012_977.html.csv,317,0
20112012_979.html.csv,39,0
20112012_980.html.csv,128,0
20112012_981.html.csv,76,0
20112012_982.html.csv,95,0
20112012_983.html.csv,115,1
20112012_984.html.csv,54,0
20112012_985.html.csv,123,-1
20112012_986.html.csv,57,0
20112012_988.html.csv,58,0
20112012_989.html.csv,92,-1
20112012_99.html.csv,84,1
20112012_991.html.csv,54,0
20112012_993.html.csv,83,0
20112012_994.html.csv,85,-1
20112012_997.html.csv,39,0
20112012_998.html.csv,210,0
20122013_1.html.csv,86,-1
20122013_101.html.csv,56,0
20122013_102.html.csv,79,0
20122013_104.html.csv,60,-1
20122013_107.html.csv,351,0
20122013_11.html.csv,67,0
20122013_110.html.csv,140,-1
20122013_111.html.csv,70,0
20122013_112.html.csv,93,0
20122013_113.html.csv,92,1
20122013_115.html.csv,0,0
20122013_116.html.csv,16,1
20122013_117.html.csv,186,-1
20122013_12.html.csv,55,0
20122013_120.html.csv,89,0
20122013_121.html.csv,18,0
20122013_122.html.csv,343,-1
20122013_124.html.csv,35,0
20122013_125.html.csv,45,0
20122013_127.html.csv,73,0
20122013_128.html.csv,125,0
20122013_129.html.csv,42,-1
20122013_130.html.csv,63,0
20122013_131.html.csv,110,0
20122013_132.html.csv,43,0
20122013_133.html.csv,86,0
20122013_135.html.csv,301,0
20122013_137.html.csv,72,-1
20122013_138.html.csv,48,0
20122013_14.html.csv,89,-1
20122013_141.html.csv,42,1
20122013_142.html.csv,50,0
20122013_143.html.csv,129,-1
20122013_146.html.csv,112,0
20122013_148.html.csv,41,0
20122013_15.html.csv,115,-1
20122013_151.html.csv,350,0
20122013_153.html.csv,77,0
20122013_154.html.csv,41,0
20122013_155.html.csv,102,0
20122013_157.html.csv,67,0
20122013_158.html.csv,153,0
20122013_16.html.csv,84,0
20122013_161.html.csv,3,0
20122013_166.html.csv,54,1
20122013_167.html.csv,94,-1
20122013_168.html.csv,66,-1
20122013_17.html.csv,43,0
20122013_170.html.csv,73,0
20122013_173.html.csv,53,-1
20122013_178.html.csv,57,-1
20122013_179.html.csv,92,1
20122013_180.html.csv,32,0
20122013_181.html.csv,103,1
20122013_182.html.csv,173,0
20122013_183.html.csv,72,1
20122013_187.html.csv,58,0
20122013_190.html.csv,97,-1
20122013_192.html.csv,182,0
20122013_193.html.csv,51,0
20122013_196.html.csv,67,0
20122013_197.html.csv,96,0
20122013_198.html.csv,96,-1
20122013_199.html.csv,103,1
20122013_200.html.csv,153,-1
20122013_203.html.csv,60,0
20122013_204.html.csv,35,0
20122013_205.html.csv,42,-1
20122013_206.html.csv,110,-1
20122013_208.html.csv,22,1
20122013_21.html.csv,10,0
20122013_210.html.csv,64,-1
20122013_211.html.csv,69,-1
20122013_212.html.csv,29,0
20122013_213.html.csv,68,0
20122013_214.html.csv,64,0
20122013_215.html.csv,59,0
20122013_216.html.csv,49,0
20122013_217.html.csv,81,0
20122013_221.html.csv,121,1
20122013_225.html.csv,40,0
20122013_226.html.csv,103,0
20122013_227.html.csv,109,-1
20122013_228.html.csv,128,0
20122013_229.html.csv,155,0
20122013_23.html.csv,131,1
20122013_230.html.csv,111,0
20122013_232.html.csv,204,1
20122013_233.html.csv,26,-1
20122013_234.html.csv,0,0
20122013_236.html.csv,59,0
20122013_237.html.csv,145,0
20122013_239.html.csv,87,0
20122013_240.html.csv,8,0
20122013_243.html.csv,82,0
20122013_244.html.csv,25,0
20122013_246.html.csv,44,0
20122013_247.html.csv,73,0
20122013_248.html.csv,69,0
20122013_249.html.csv,67,0
20122013_251.html.csv,79,-1
20122013_256.html.csv,3,0
20122013_259.html.csv,47,0
20122013_26.html.csv,29,0
20122013_260.html.csv,50,0
20122013_261.html.csv,84,-1
20122013_262.html.csv,206,-1
20122013_263.html.csv,196,0
20122013_265.html.csv,55,-1
20122013_266.html.csv,33,0
20122013_267.html.csv,65,-1
20122013_268.html.csv,15,0
20122013_27.html.csv,19,0
20122013_270.html.csv,48,-1
20122013_274.html.csv,103,-1
20122013_275.html.csv,38,0
20122013_278.html.csv,140,-1
20122013_279.html.csv,64,0
20122013_280.html.csv,60,-1
20122013_282.html.csv,26,-1
20122013_287.html.csv,61,0
20122013_291.html.csv,86,0
20122013_293.html.csv,70,-1
20122013_295.html.csv,240,0
20122013_296.html.csv,83,0
20122013_297.html.csv,124,1
20122013_299.html.csv,97,0
20122013_3.html.csv,36,0
20122013_301.html.csv,96,0
20122013_302.html.csv,61,0
20122013_303.html.csv,99,0
20122013_309.html.csv,73,-1
20122013_31.html.csv,95,1
20122013_310.html.csv,74,0
20122013_314.html.csv,176,0
20122013_315.html.csv,81,1
20122013_316.html.csv,66,0
20122013_318.html.csv,176,0
20122013_319.html.csv,88,-1
20122013_32.html.csv,24,0
20122013_320.html.csv,308,0
20122013_321.html.csv,52,-1
20122013_324.html.csv,131,-1
20122013_325.html.csv,39,-1
20122013_326.html.csv,147,0
20122013_327.html.csv,98,0
20122013_329.html.csv,106,0
20122013_33.html.csv,64,0
20122013_331.html.csv,109,1
20122013_332.html.csv,99,0
20122013_334.html.csv,68,0
20122013_335.html.csv,143,1
20122013_336.html.csv,0,0
20122013_337.html.csv,151,-1
20122013_338.html.csv,29,-1
20122013_339.html.csv,86,-1
20122013_34.html.csv,104,0
20122013_340.html.csv,70,1
20122013_342.html.csv,72,0
20122013_344.html.csv,94,0
20122013_346.html.csv,71,0
20122013_347.html.csv,135,-1
20122013_349.html.csv,104,-1
20122013_350.html.csv,57,0
20122013_356.html.csv,61,0
20122013_36.html.csv,111,0
20122013_360.html.csv,136,-1
20122013_361.html.csv,43,0
20122013_363.html.csv,38,0
20122013_369.html.csv,41,0
20122013_370.html.csv,76,0
20122013_371.html.csv,28,0
20122013_372.html.csv,101,0
20122013_374.html.csv,40,-1
20122013_376.html.csv,30,-1
20122013_377.html.csv,87,0
20122013_378.html.csv,96,-1
20122013_380.html.csv,42,0
20122013_381.html.csv,35,0
